"site.id.c","visit.no","idnew","sample.type","doc.result","therm.sav","chl","st.nla2012","us.l3code","domean","tempmean","tbot","do.hyp.fail","do.hyp.pass","yday.x","st.nla2012.1","year","tmax","index.lat.dd","index.lon.dd","index.site.depth","elevation","area.ha","tmean.pt","tmin.pt","biov.cyano","mc","biov.tot","prop.cyano","zbiomass","zdensity","ntl.result","no3no2.result","doc.result.1","ptl.result","turb.result"
"NLA06608-0004",2,NA,"MICX",7.86,NA,14.72,"CO",21,NA,NA,18.6,0,6,253,"CO","07",18.8,37.417025065,-108.4057466,5.275,2213,65.386204805,7.481694945,-0.11,NA,NA,NA,NA,NA,NA,596,5,7.86,46,7.33
"NLA06608-0005",1,NA,"MICX",1.45,NA,1.205,"ID",16,NA,NA,19.9,0,6,198,"ID","07",20.1,43.92920926,-114.8403862,6.5,2138,19.48761255,1.7,NA,NA,NA,NA,NA,NA,NA,85,5,1.45,4,0.475
"NLA06608-0005",2,NA,"MICX",1.39,NA,0.403,"ID",16,NA,NA,17.3,0,7,233,"ID","07",17.6,43.92920926,-114.8403862,6.5,2138,19.48761255,1.7,NA,NA,NA,NA,NA,NA,NA,68,5,1.39,3,0.609
"NLA06608-0006",1,NA,"MICX",3.16,4.5,4.08,"CT",59,7.05,7.3835,5.46,1,19,197,"CT","07",25.3,41.67979312,-73.14551885,24.075,198.75,56.1997103195,8.88725006,3.17,NA,0.18,NA,NA,NA,NA,184,5,3.16,7,0.901
"NLA06608-0006",1,"NLA12_CT-103--1--X","MICX",2.53,3.5,2.324,"CT",59,5.535,9.42,6.5,4,16,221,"CT","12",26.9,41.67979312,-73.14551885,24.075,198.75,56.1997103195,8.88725006,3.17,8841.3691,NA,401123.8096,0.0220414966362047,42.95795,381.24145,205,0,2.53,19,0.67
"NLA06608-0006",1,"NLA12_CT-103--1--L","MICL",2.53,3.5,1.77,"CT",59,5.535,9.42,6.5,4,16,221,"CT","12",26.9,41.67979312,-73.14551885,24.075,198.75,56.1997103195,8.88725006,3.17,40164.7044,NA,312680.7015,0.128452776929695,42.95795,381.24145,205,0,2.53,19,0.67
"NLA06608-0006",2,NA,"MICX",2.95,3.5,3.224,"CT",59,4.84904761904762,8.45428571428571,5.67,6,15,241,"CT","07",24.4,41.67979312,-73.14551885,24.075,198.75,56.1997103195,8.88725006,3.17,NA,0.57,NA,NA,NA,NA,223,5,2.95,4,1.24
"NLA06608-0007",1,NA,"MICX",6.68,1.5,2.432,"WI",51,5.665,9.43333333333333,4.8,5,13,204,"WI","07",26.4,45.58064546,-92.04001797,19.1,390.86,25.4747633,5.7,NA,NA,NA,NA,NA,NA,NA,493,5,6.68,8,1.05
"NLA06608-0007",2,NA,"MICX",6.52,4.5,4.088,"WI",51,3.27333333333333,7.02,4.7,9,6,248,"WI","07",23.5,45.58064546,-92.04001797,19.1,390.86,25.4747633,5.7,NA,NA,NA,NA,NA,NA,NA,523,5,6.52,7,1.02
"NLA06608-0008",1,NA,"MICX",7.6,2.5,30.24,"IA",47,0.133333333333333,21.1333333333333,18,3,0,192,"IA","07",27.3,41.29211104,-93.59040488,5.5,261.56,48.7370362,10.1,NA,NA,NA,NA,NA,NA,NA,801,5,7.6,66,8.62
"NLA06608-0008",2,NA,"MICX",7.13,1.5,148.2,"IA",47,0.575,23.475,18.3,4,0,233,"IA","07",28.7,41.29211104,-93.59040488,5.5,261.56,48.7370362,10.1,NA,NA,NA,NA,NA,NA,NA,1525,5,7.13,79,17.6
"NLA06608-0010",1,NA,"MICX",4.94,5.5,4.384,"MI",56,2.14285714285714,12.9142857142857,8.6,5,2,197,"MI","07",23.8,42.61943507,-83.505118855,11.275,284.65,30.0372997715,8.714849855,3.72,NA,NA,NA,NA,NA,NA,473,5,4.94,10,3.05
"NLA06608-0010",1,"NLA12_MI-117--1--X","MICX",4.72,4.5,3.144,"MI",56,2.52857142857143,15.7285714285714,11.8,5,2,205,"MI","12",27.8,42.61943507,-83.505118855,11.275,284.65,30.0372997715,8.714849855,3.72,325006.3424,1.06855,1200107.2705,0.27081441000236,81.1938,635.43905,489,2,4.72,18,0.76
"NLA06608-0010",1,"NLA12_MI-117--1--L","MICL",4.72,4.5,2.84,"MI",56,2.52857142857143,15.7285714285714,11.8,5,2,205,"MI","12",27.8,42.61943507,-83.505118855,11.275,284.65,30.0372997715,8.714849855,3.72,216426.8869,0.79297,712767.4212,0.3036430685,81.1938,635.43905,489,2,4.72,18,0.76
"NLA06608-0010",2,NA,"MICX",4.55,5.5,3.328,"MI",56,0.55,12.9833333333333,8.9,6,0,229,"MI","07",24.7,42.61943507,-83.505118855,11.275,284.65,30.0372997715,8.714849855,3.72,NA,NA,NA,NA,NA,NA,485,5,4.55,10,1.42
"NLA06608-0012",1,NA,"MICX",8.01,3.25,4.9,"OK",27,3.7,25.93,25.93,1,0,163,"OK","07",26.77,35.994994115,-96.874723655,3.1,255.6,177.657407815,15.464749755,8.95,NA,NA,NA,NA,NA,NA,1026,279,8.01,159,50.3
"NLA06608-0012",1,"NLA12_OK-121--1--L","MICL",7.33,NA,17.3,"OK",27,NA,NA,25.8,0,3,162,"OK","12",25.95,35.994994115,-96.874723655,3.1,255.6,177.657407815,15.464749755,8.95,1222421.7102,0.17334,1575148.8403,0.776067428629271,182.01805,815.5475,1090,130,7.33,119,68.2
"NLA06608-0012",1,"NLA12_OK-121--1--X","MICX",7.33,NA,8.68,"OK",27,NA,NA,25.8,0,3,162,"OK","12",25.95,35.994994115,-96.874723655,3.1,255.6,177.657407815,15.464749755,8.95,942927.8137,0.18032,1095229.7829,0.860940624900897,182.01805,815.5475,1090,130,7.33,119,68.2
"NLA06608-0012",2,NA,"MICX",6.14,NA,21.28,"OK",27,NA,NA,24.08,0,4,260,"OK","07",24.11,35.994994115,-96.874723655,3.1,255.6,177.657407815,15.464749755,8.95,NA,0.78,NA,NA,NA,NA,1052,136,6.14,142,45.1
"NLA06608-0013",1,NA,"MICX",4.79,NA,16.027,"NJ",84,NA,NA,NA,NA,NA,246,"NJ","07",NA,39.97151516,-74.570380615,2.95,15.44,37.140258389,12.21875,6.38,NA,NA,NA,NA,NA,NA,384,5,4.79,28,4.21
"NLA06608-0013",1,"NLA12_NJ-104--1--X","MICX",6.22,1.5,21.64,"NJ",84,0.4,19.8,17.9,3,0,196,"NJ","12",26.2,39.97151516,-74.570380615,2.95,15.44,37.140258389,12.21875,6.38,NA,NA,1466941.0686,0,32.20365,365.7935,399,3,6.22,39,4.23
"NLA06608-0013",1,"NLA12_NJ-104--1--L","MICL",6.22,1.5,22.96,"NJ",84,0.4,19.8,17.9,3,0,196,"NJ","12",26.2,39.97151516,-74.570380615,2.95,15.44,37.140258389,12.21875,6.38,NA,NA,2010801.979,0,32.20365,365.7935,399,3,6.22,39,4.23
"NLA06608-0013",2,NA,"MICX",4.41,NA,8.8,"NJ",84,NA,NA,NA,NA,NA,256,"NJ","07",NA,39.97151516,-74.570380615,2.95,15.44,37.140258389,12.21875,6.38,NA,NA,NA,NA,NA,NA,264,5,4.41,20,4.15
"NLA06608-0014",1,NA,"MICX",41.27,NA,8.748,"ND",46,NA,NA,21.7,0,3,217,"ND","07",21.8,47.83492738,-100.5756807,1.65,498.4,12.80952857,4.7,NA,NA,NA,NA,NA,NA,NA,4147,5,41.27,175,7.1
"NLA06608-0014",2,NA,"MICX",40.88,NA,20.52,"ND",46,NA,NA,18.1,0,3,234,"ND","07",18.1,47.83492738,-100.5756807,1.65,498.4,12.80952857,4.7,NA,NA,NA,NA,NA,NA,NA,4456,5,40.88,175,6.18
"NLA06608-0015",1,NA,"MICX",3.78,NA,20,"NM",24,NA,NA,23.1,0,7,190,"NM","07",23.6,33.0071076,-107.2747938,6.45,1275.36,173.9929805,16,NA,NA,NA,NA,NA,NA,NA,470,5,3.78,109,32.7
"NLA06608-0015",2,NA,"MICX",3.94,NA,13.648,"NM",24,NA,NA,25.3,0,6,240,"NM","07",25.5,33.0071076,-107.2747938,6.45,1275.36,173.9929805,16,NA,NA,NA,NA,NA,NA,NA,423,5,3.94,98,17.7
"NLA06608-0016",1,NA,"MICX",4.69,NA,13,"NE",44,NA,NA,23.6,0,7,177,"NE","07",23.6,41.038171085,-100.77904335,6.275,916,641.02335789,9.51574005,2,NA,0.29,NA,NA,NA,NA,490,21,4.69,6,16.5
"NLA06608-0016",1,"NLA12_NE-109--1--X","MICX",4.82,NA,12.01333333,"NE",44,NA,NA,25.6,0,6,201,"NE","12",26.1,41.038171085,-100.77904335,6.275,916,641.02335789,9.51574005,2,115289.9073,NA,1390328.4719,0.0829227838098192,48.329,204.35875,723,168,4.82,59,6.78
"NLA06608-0016",1,"NLA12_NE-109--1--L","MICL",4.82,NA,9.2,"NE",44,NA,NA,25.6,0,6,201,"NE","12",26.1,41.038171085,-100.77904335,6.275,916,641.02335789,9.51574005,2,162357.2256,NA,1564015.7969,0.103807919281765,48.329,204.35875,723,168,4.82,59,6.78
"NLA06608-0016",2,NA,"MICX",4.49,NA,16.64,"NE",44,NA,NA,24,0,7,191,"NE","07",24,41.038171085,-100.77904335,6.275,916,641.02335789,9.51574005,2,NA,1.3,NA,NA,NA,NA,704,30,4.49,39,18.6
"NLA06608-0019",1,NA,"MICX",44.99,NA,4.032,"ND",42,NA,NA,NA,NA,NA,161,"ND","07",NA,46.36671894,-99.506244385,1.5,600.25,103.313584255,4.989444885,-0.94,NA,0.88,NA,NA,NA,NA,7047,879,44.99,801,45.5
"NLA06608-0019",1,"NLA12_ND-108--1--L","MICL",20.52,NA,388.8,"ND",42,NA,NA,20.47,NA,NA,169,"ND","12",20.47,46.36671894,-99.506244385,1.5,600.25,103.313584255,4.989444885,-0.94,85770004.1593,0.4729,90291468.8706,0.949923677531707,1254.0851,5400.06185,6788,0,20.52,603,97.74
"NLA06608-0019",1,"NLA12_ND-108--1--X","MICX",20.52,NA,446.4,"ND",42,NA,NA,20.47,NA,NA,169,"ND","12",20.47,46.36671894,-99.506244385,1.5,600.25,103.313584255,4.989444885,-0.94,29874628.7586,0.39049,33519010.9644,0.891274172448864,1254.0851,5400.06185,6788,0,20.52,603,97.74
"NLA06608-0019",2,NA,"MICX",50.6,NA,44.256,"ND",42,NA,NA,20.9,NA,NA,218,"ND","07",20.9,46.36671894,-99.506244385,1.5,600.25,103.313584255,4.989444885,-0.94,NA,20,NA,NA,NA,NA,6578,5,50.6,1376,33.8
"NLA06608-0020",1,NA,"MICX",5.03,3.5,20.24,"IL",72,0.463636363636364,11.8727272727273,8.4,11,0,161,"IL","07",25.2,39.40947819,-87.80883316,15.4,184.92,296.199865655,12.00034973,6.27,NA,NA,NA,NA,NA,NA,605,5,5.03,30,4.55
"NLA06608-0020",1,"NLA12_IL-105--1--X","MICX",4.94,6.5,12.37333333,"IL",72,0.17,11.5,8.9,10,0,256,"IL","12",23.8,39.40947819,-87.80883316,15.4,184.92,296.199865655,12.00034973,6.27,2311265.9566,0.14072,17433573.8125,0.132575568352073,77.33095,772.6514,603,2,4.94,28,3.37
"NLA06608-0020",1,"NLA12_IL-105--1--L","MICL",4.94,6.5,10.68,"IL",72,0.17,11.5,8.9,10,0,256,"IL","12",23.8,39.40947819,-87.80883316,15.4,184.92,296.199865655,12.00034973,6.27,2261848.4932,0.12044,3156276.1366,0.716619330917131,77.33095,772.6514,603,2,4.94,28,3.37
"NLA06608-0020",2,NA,"MICX",4.71,4.5,13.029,"IL",72,0.133333333333333,11.7777777777778,8.8,9,0,182,"IL","07",27,39.40947819,-87.80883316,15.4,184.92,296.199865655,12.00034973,6.27,NA,NA,NA,NA,NA,NA,466,5,4.71,20,3.78
"NLA06608-0021",1,NA,"MICX",2.92,9.5,2.292,"NY",83,11.2857142857143,9.54285714285714,5.6,0,14,207,"NY","07",22.8,42.77191973,-77.3095481,49.65,209.55,4226.925272,8.7,NA,NA,NA,NA,NA,NA,NA,390,139,2.92,7,0.574
"NLA06608-0021",2,NA,"MICX",2.7,13.5,3.952,"NY",83,10.19,10.08,5.5,0,10,241,"NY","07",23.5,42.77191973,-77.3095481,49.65,209.55,4226.925272,8.7,NA,NA,1.5,NA,NA,NA,NA,463,96,2.7,11,2.36
"NLA06608-0023",1,NA,"MICX",3.88,NA,2.776,"TX",29,NA,NA,28.9,0,3,220,"TX","07",29.3,31.14841086,-97.745201,2.7,265.85,6.20719343985,19.21590027,13.19,NA,NA,NA,NA,NA,NA,349,5,3.88,12,3.79
"NLA06608-0023",1,"NLA12_TX-112--1--X","MICX",4.59,NA,3.592,"TX",29,NA,NA,28.2,0,3,198,"TX","12",28.4,31.14841086,-97.745201,2.7,265.85,6.20719343985,19.21590027,13.19,15301.2236,NA,972447.6232,0.0157347534560769,824.88615,6262.97925,419,0,4.59,23,5.13
"NLA06608-0023",1,"NLA12_TX-112--1--L","MICL",4.59,NA,5.23,"TX",29,NA,NA,28.2,0,3,198,"TX","12",28.4,31.14841086,-97.745201,2.7,265.85,6.20719343985,19.21590027,13.19,204758.0104,0.13801,3660420.8865,0.0559383788774586,824.88615,6262.97925,419,0,4.59,23,5.13
"NLA06608-0023",2,NA,"MICX",4.7,NA,2.816,"TX",29,NA,NA,27.5,0,4,261,"TX","07",27.6,31.14841086,-97.745201,2.7,265.85,6.20719343985,19.21590027,13.19,NA,NA,NA,NA,NA,NA,562,5,4.7,24,2.81
"NLA06608-0024",1,NA,"MICX",8.2,11.5,44.151,"TX",35,0.1,21.35,21,2,0,191,"TX","07",27.7,32.14331485,-95.483637045,9.55,105.13,9530.1452447,18.58674988,12.14,NA,0.26,NA,NA,NA,NA,860,5,8.2,35,5.68
"NLA06608-0024",1,"NLA12_TX-105--1--L","MICL",6.69,3.5,32.8,"TX",35,1.425,28.175,27.5,3,1,179,"TX","12",31.1,32.14331485,-95.483637045,9.55,105.13,9530.1452447,18.58674988,12.14,9544391.8814,NA,12568522.7482,0.759388519447673,15.94015,98.42605,590,2,6.69,35,5.56
"NLA06608-0024",1,"NLA12_TX-105--1--X","MICX",6.69,3.5,37.28,"TX",35,1.425,28.175,27.5,3,1,179,"TX","12",31.1,32.14331485,-95.483637045,9.55,105.13,9530.1452447,18.58674988,12.14,15045585.0009,0.1031,27533487.607,0.546446756606122,15.94015,98.42605,590,2,6.69,35,5.56
"NLA06608-0024",2,NA,"MICX",9.85,4.5,25.403,"TX",35,0.45,27,24.5,6,0,225,"TX","07",32.7,32.14331485,-95.483637045,9.55,105.13,9530.1452447,18.58674988,12.14,NA,0.2,NA,NA,NA,NA,943,5,9.85,29,3.83
"NLA06608-0025",1,NA,"MICX",3.43,NA,1.304,"NC",45,NA,NA,NA,NA,NA,168,"NC","07",NA,35.20132137,-81.34573084,7.1,245.48,11.48123514,15.1,NA,NA,NA,NA,NA,NA,NA,195,5,3.43,10,1.56
"NLA06608-0025",2,NA,"MICX",3.13,NA,1.829,"NC",45,NA,NA,NA,NA,NA,198,"NC","07",NA,35.20132137,-81.34573084,7.1,245.48,11.48123514,15.1,NA,NA,NA,NA,NA,NA,NA,97,5,3.13,4,1.42
"NLA06608-0029",1,NA,"MICX",4.12,NA,123.12,"DE",63,NA,NA,24.5,NA,NA,182,"DE","07",24.6,38.75601051,-75.21503793,1.25,1.87,73.10037419,13.4,NA,NA,0.17,NA,NA,NA,NA,2106,5,4.12,247,25.1
"NLA06608-0029",2,NA,"MICX",5.51,NA,106.8,"DE",63,NA,NA,NA,NA,NA,253,"DE","07",NA,38.75601051,-75.21503793,1.25,1.87,73.10037419,13.4,NA,NA,NA,NA,NA,NA,NA,2146,5,5.51,162,16.4
"NLA06608-0031",1,NA,"MICX",3.83,1.5,5.264,"OH",70,2.15,15.975,11,3,1,163,"OH","07",24.5,39.776211785,-81.520070925,6.475,241.93,24.2494251735,10.971400145,4.91,NA,NA,NA,NA,NA,NA,428,5,3.83,32,8.82
"NLA06608-0031",1,"NLA12_OH-106--1--L","MICL",4.92,2.5,4.19,"OH",70,1.15,15.8183333333333,8.77,5,1,239,"OH","12",25.96,39.776211785,-81.520070925,6.475,241.93,24.2494251735,10.971400145,4.91,103210.6034,NA,3996402.7897,0.0258258761269026,70.926,375.9074,448,0,4.92,21,2.24
"NLA06608-0031",1,"NLA12_OH-106--1--X","MICX",4.92,2.5,9.066666667,"OH",70,1.15,15.8183333333333,8.77,5,1,239,"OH","12",25.96,39.776211785,-81.520070925,6.475,241.93,24.2494251735,10.971400145,4.91,46387.3421,NA,1961965.852,0.0236432973859934,70.926,375.9074,448,0,4.92,21,2.24
"NLA06608-0031",2,NA,"MICX",3.99,2.5,8.496,"OH",70,0.666666666666667,20.8666666666667,17.5,3,0,247,"OH","07",25.4,39.776211785,-81.520070925,6.475,241.93,24.2494251735,10.971400145,4.91,NA,NA,NA,NA,NA,NA,394,5,3.99,24,6.24
"NLA06608-0033",1,NA,"MICX",10.11,NA,8.92,"WA",77,NA,NA,19.4,NA,NA,197,"WA","07",19.4,47.310866815,-121.2999799,1.55,732.43,15.164503694,6.285880125,1.42,NA,NA,NA,NA,NA,NA,835,5,10.11,67,12.2
"NLA06608-0033",1,"NLA12_WA-102--1--X","MICX",7.34,NA,5.12,"WA",77,NA,NA,17.7,NA,NA,214,"WA","12",17.7,47.310866815,-121.2999799,1.55,732.43,15.164503694,6.285880125,1.42,20052.5224,NA,32930793.4582,0.000608929220774873,23.95295,562.7913,1573,2,7.34,180,2.52
"NLA06608-0033",1,"NLA12_WA-102--1--L","MICL",7.34,NA,2.96,"WA",77,NA,NA,17.7,NA,NA,214,"WA","12",17.7,47.310866815,-121.2999799,1.55,732.43,15.164503694,6.285880125,1.42,50039.8357,NA,539849.5809,0.0926921821752219,23.95295,562.7913,1573,2,7.34,180,2.52
"NLA06608-0033",2,NA,"MICX",10.78,NA,4.84,"WA",77,NA,NA,13.9,NA,NA,239,"WA","07",14,47.310866815,-121.2999799,1.55,732.43,15.164503694,6.285880125,1.42,NA,NA,NA,NA,NA,NA,440,5,10.78,32,3.19
"NLA06608-0036",1,NA,"MICX",4.07,2.5,5.069,"IL",71,2.03333333333333,23.7333333333333,20.1,2,1,192,"IL","07",30,37.47735202,-88.32779961,5.05,113.39,12.02757650455,13.734299925,7.73,NA,NA,NA,NA,NA,NA,178,5,4.07,8,1.57
"NLA06608-0036",1,"NLA12_IL-R01--1--X","MICX",3.34,2.5,2.272,"IL",71,6.43333333333333,22.8333333333333,20.1,0,3,162,"IL","12",26.7,37.47735202,-88.32779961,5.05,113.39,12.02757650455,13.734299925,7.73,10602.967,0.27599,251747.7516,0.0421174248135768,27.5315,408.55975,261,0,3.34,21,2.06
"NLA06608-0036",1,"NLA12_IL-R01--1--L","MICL",3.34,2.5,80.27,"IL",71,6.43333333333333,22.8333333333333,20.1,0,3,162,"IL","12",26.7,37.47735202,-88.32779961,5.05,113.39,12.02757650455,13.734299925,7.73,1867701.1078,0.88896,5356935.2387,0.348651052248533,27.5315,408.55975,261,0,3.34,21,2.06
"NLA06608-0036",2,NA,"MICX",4.37,2.5,3.018,"IL",71,2.16666666666667,24.6333333333333,20.9,2,1,196,"IL","07",30.2,37.47735202,-88.32779961,5.05,113.39,12.02757650455,13.734299925,7.73,NA,NA,NA,NA,NA,NA,241,5,4.37,9,1.32
"NLA06608-0037",1,NA,"MICX",3.38,4.5,8.016,"CT",58,0.877777777777778,12.3666666666667,9.1,8,1,193,"CT","07",25.3,41.69699293,-73.36398551,12.4,211.27,236.955581,8.6,NA,NA,0.14,NA,NA,NA,NA,239,5,3.38,14,2.59
"NLA06608-0037",2,NA,"MICX",3.23,4.5,5.264,"CT",58,0.95625,15.75,10.8,7,1,247,"CT","07",23.4,41.69699293,-73.36398551,12.4,211.27,236.955581,8.6,NA,NA,NA,NA,NA,NA,NA,338,5,3.23,14,2.23
"NLA06608-0038",1,NA,"MICX",3.27,5.5,4.328,"VT",58,7.11666666666667,12.35,8.5,0,6,192,"VT","07",20.3,44.79759122,-71.86971736,12.45,358.73,220.6478779,4.2,NA,NA,NA,NA,NA,NA,NA,158,28,3.27,4,0.549
"NLA06608-0038",2,NA,"MICX",3.34,6.5,2.072,"VT",58,2.875,11.6875,8.6,6,2,238,"VT","07",20.6,44.79759122,-71.86971736,12.45,358.73,220.6478779,4.2,NA,NA,NA,NA,NA,NA,NA,113,5,3.34,3,0.654
"NLA06608-0041",1,NA,"MICX",1.24,6.5,0.884,"WV",69,13.1115789473684,15.3057894736842,9.75,0,19,162,"WV","07",24.8,38.22694093,-80.85405519,37.95,501.84,1071.509332,10.5,NA,NA,NA,NA,NA,NA,NA,476,395,1.24,1,0.601
"NLA06608-0041",2,NA,"MICX",1.59,7.5,1.136,"WV",69,5.736,18.232,13.35,0,20,191,"WV","07",26.65,38.22694093,-80.85405519,37.95,501.84,1071.509332,10.5,NA,NA,NA,NA,NA,NA,NA,370,325,1.59,1,0.936
"NLA06608-0042",1,NA,"MICX",4.78,4.5,2.208,"WY",17,7.96666666666667,7.82222222222222,7.2,0,9,172,"WY","07",13.1,44.45823517,-107.0403753,13.75,2626,77.7184868,0.8,NA,NA,NA,NA,NA,NA,NA,213,5,4.78,15,0.791
"NLA06608-0042",2,NA,"MICX",3.2,2.5,1.276,"WY",17,7.08333333333333,9.45833333333333,7.5,0,12,186,"WY","07",17.7,44.45823517,-107.0403753,13.75,2626,77.7184868,0.8,NA,NA,NA,NA,NA,NA,NA,147,5,3.2,5,0.508
"NLA06608-0043",1,NA,"MICX",7.22,2.5,5.409,"IN",56,1.31428571428571,10.4428571428571,5.9,12,2,211,"IN","07",26.8,41.553395,-85.44424168,16.35,273.03,24.24719175,9.4,NA,NA,NA,NA,NA,NA,NA,645,5,7.22,9,3.74
"NLA06608-0043",2,NA,"MICX",7.25,3.5,5.317,"IN",56,0.646153846153846,9.57692307692308,5.9,12,1,226,"IN","07",27.3,41.553395,-85.44424168,16.35,273.03,24.24719175,9.4,NA,NA,NA,NA,NA,NA,NA,714,5,7.25,11,2.94
"NLA06608-0044",1,NA,"MICX",16.68,NA,135.61,"NE",44,NA,NA,24.4,NA,NA,198,"NE","07",24.6,42.4048448,-101.7024805,1.6,1097.9,219.8023543,8.2,NA,NA,NA,NA,NA,NA,NA,4108,5,16.68,601,121
"NLA06608-0044",2,NA,"MICX",16.92,NA,130.4,"NE",44,NA,NA,24,NA,NA,210,"NE","07",24,42.4048448,-101.7024805,1.6,1097.9,219.8023543,8.2,NA,NA,NA,NA,NA,NA,NA,6741,5,16.92,523,117
"NLA06608-0045",1,NA,"MICX",4.79,NA,20.16,"VA",45,NA,NA,21.7,NA,NA,176,"VA","07",27.6,37.2951282866667,-77.8869070433333,2.1,65.73,28.838141964,13.89465027,7.11,NA,NA,NA,NA,NA,NA,648,12,4.79,54,9.45
"NLA06608-0045",1,"NLA12_VA-101--1--L","MICL",5.94,NA,27.04,"VA",45,NA,NA,30.4,NA,NA,191,"VA","12",30.9,37.2951282866667,-77.8869070433333,2.1,65.73,28.838141964,13.89465027,7.11,488550.0707,NA,4931621.5423,0.0990647937011304,69.2249,1503.2064,875,3,5.94,146,4.59
"NLA06608-0045",1,"NLA12_VA-101--1--X","MICX",5.94,NA,64.672,"VA",45,NA,NA,30.4,NA,NA,191,"VA","12",30.9,37.2951282866667,-77.8869070433333,2.1,65.73,28.838141964,13.89465027,7.11,4023575.8863,NA,7925704.0152,0.507661638459315,69.2249,1503.2064,875,3,5.94,146,4.59
"NLA06608-0045",2,NA,"MICX",4.52,1.25,21.12,"VA",45,0.4,24.7,23.7,2,0,213,"VA","07",27.7,37.2951282866667,-77.8869070433333,2.1,65.73,28.838141964,13.89465027,7.11,NA,NA,NA,NA,NA,NA,430,5,4.52,60,9.17
"NLA06608-0045",2,"NLA12_VA-101--2--L","MICL",5.52,NA,21.6,"VA",45,NA,NA,28,NA,NA,214,"VA","12",28.9,37.2951282866667,-77.8869070433333,2.1,65.73,28.838141964,13.89465027,7.11,843477.9198,NA,14129971.1243,0.0596942422868388,66.74585,1826.58095,691,0,5.52,159,3.94
"NLA06608-0045",2,"NLA12_VA-101--2--X","MICX",5.52,NA,81.28,"VA",45,NA,NA,28,NA,NA,214,"VA","12",28.9,37.2951282866667,-77.8869070433333,2.1,65.73,28.838141964,13.89465027,7.11,1122521.9212,NA,19039597.0471,0.0589572309972272,66.74585,1826.58095,691,0,5.52,159,3.94
